BOOKING_ID,BOOKING_TYPE_NAME,PRODUCT_NAME,PLATFORM,CUSTOMER_ID,TRAVELER_ID,BOOKING_DATE,TRAVEL_START,TRAVEL_END,INVOICE_DATE,ONLINE_PURCHASE_FLAG,BOOKING_AMOUNT,SAVINGS_AMOUNT,TRANSACTION_COUNT,segment,segment_label,booking_month
159585350,Reserve,Car,Desktop,0,8833,2018-08-10,2018-09-04,2018-09-07,,True,956.97,0.0,8,0,At-Risk Customers,2018-08
16125082,Reserve,Car,Mobile,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,1327.5,0.0,7,0,At-Risk Customers,2018-09
129001472,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,1412.4,0.0,4,0,At-Risk Customers,2018-09
64792032,Reserve,Car,Desktop,0,1457,2018-09-14,2018-09-21,2018-09-24,,True,375.0,0.0,0,0,At-Risk Customers,2018-09
145126674,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,941.6,0.0,1,0,At-Risk Customers,2018-09
63633256,Reserve,Car,Desktop,0,1191,2018-08-02,2018-08-24,2018-08-27,,True,363.2,0.0,3,0,At-Risk Customers,2018-08
96750690,Reserve,Car,Mobile,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,1372.68,0.0,8,0,At-Risk Customers,2018-09
16254464,Reserve,Car,Mobile,0,1005,2018-09-21,2019-01-26,2019-01-29,,True,789.6,0.0,5,0,At-Risk Customers,2018-09
32250184,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,259.64,0.0,9,0,At-Risk Customers,2018-09
80626150,Reserve,Car,Desktop,0,9166,2018-09-05,2019-01-05,2019-01-19,,True,3482.0,0.0,7,0,At-Risk Customers,2018-09
16125105,Reserve,Car,Desktop,0,1005,2018-09-05,2019-03-05,2019-03-12,,True,1606.92,0.0,1,0,At-Risk Customers,2018-09
129000640,Reserve,Car,Mobile,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,1062.0,0.0,4,0,At-Risk Customers,2018-09
32288038,Reserve,Car,Desktop,0,9166,2018-09-07,2019-02-07,2019-02-14,,True,1655.52,0.0,4,0,At-Risk Customers,2018-09
129000680,Reserve,Car,Mobile,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,3516.0,0.0,6,0,At-Risk Customers,2018-09
32004914,Reserve,Car,Desktop,0,1008,2018-08-17,2018-08-24,2018-09-01,,True,1444.66,0.0,6,0,At-Risk Customers,2018-08
48539805,Reserve,Car,Desktop,0,1085,2018-09-12,2018-09-17,2018-09-24,,True,1575.5,0.0,3,0,At-Risk Customers,2018-09
129000872,Reserve,Car,Mobile,0,1005,2018-09-05,2019-03-05,2019-03-12,,True,229.56,0.0,2,0,At-Risk Customers,2018-09
96750642,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,1372.68,0.0,6,0,At-Risk Customers,2018-09
95973828,Reserve,Car,Desktop,0,1062,2018-08-16,2018-08-17,2018-08-19,,True,276.3,0.0,6,0,At-Risk Customers,2018-08
32118956,Reserve,Car,Desktop,0,1200,2018-08-27,2018-09-04,2018-09-07,,True,972.0,0.0,6,0,At-Risk Customers,2018-08
16171385,Reserve,Car,Desktop,0,1736,2018-09-11,2018-09-13,2018-09-14,,True,137.06,0.0,8,0,At-Risk Customers,2018-09
96750744,Reserve,Car,Desktop,0,1005,2018-09-05,2019-03-05,2019-03-12,,True,247.45,0.0,3,0,At-Risk Customers,2018-09
129000968,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,2219.58,0.0,7,0,At-Risk Customers,2018-09
161250870,Reserve,Car,Mobile,0,1005,2018-09-05,2019-03-05,2019-03-12,,True,2124.0,0.0,3,0,At-Risk Customers,2018-09
48404235,Reserve,Car,Desktop,0,1005,2018-09-06,2019-03-06,2019-03-13,,True,1445.76,0.0,4,0,At-Risk Customers,2018-09
31722464,Reserve,Car,Mobile,0,9521,2018-07-25,2018-07-28,2018-07-30,,True,1162.4,0.0,1,0,At-Risk Customers,2018-07
48649737,Reserve,Car,Desktop,0,1005,2018-09-17,2019-03-18,2019-03-24,,True,1182.2,0.0,4,0,At-Risk Customers,2018-09
129001816,Reserve,Car,Desktop,0,1005,2018-09-05,2019-01-05,2019-01-19,,True,3429.18,0.0,0,0,At-Risk Customers,2018-09
160382140,Reserve,Car,Desktop,0,1942,2018-08-23,2018-10-17,2018-10-18,,True,420.0,0.0,8,0,At-Risk Customers,2018-08
129000784,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,8749.95,0.0,5,0,At-Risk Customers,2018-09
80625910,Reserve,Car,Desktop,0,9166,2018-09-05,2019-03-05,2019-03-12,,True,941.6,0.0,1,0,At-Risk Customers,2018-09
