CUSTOMER_ID,total_value,booking_frequency,avg_booking_value,recency_days,product_diversity,segment,segment_label
0,60494.54,41,1475.48,101,1,0,At-Risk Customers
1000,228244.7,191,1195.0,14,2,1,Loyal Champions
1001,400941.2,214,1873.56,11,2,1,Loyal Champions
1002,169340.67,212,798.78,11,2,1,Loyal Champions
1003,200946.51,49,4100.95,10,1,3,High-Value Customers
1004,102269.07,126,811.66,4,2,1,Loyal Champions
1005,486866.41,892,545.81,0,2,1,Loyal Champions
1006,4357.28,4,1089.32,42,1,0,At-Risk Customers
1007,651.72,1,651.72,101,1,0,At-Risk Customers
1008,102434.48,77,1330.32,4,2,1,Loyal Champions
1009,71297.3,85,838.79,3,2,1,Loyal Champions
1010,1538.7,3,512.9,214,1,0,At-Risk Customers
1011,2187444.57,2000,1093.72,0,2,1,Loyal Champions
1013,90639.15,103,879.99,186,2,0,At-Risk Customers
1014,321979.72,224,1437.41,4,2,1,Loyal Champions
1015,676167.65,722,936.52,3,2,1,Loyal Champions
1016,4076765.75,5495,741.9,0,2,1,Loyal Champions
1017,1541782.52,575,2681.36,0,2,3,High-Value Customers
1018,23260267.59,36575,635.96,0,2,2,VIP Whale
1019,27243.41,17,1602.55,33,2,1,Loyal Champions
1020,61375.7,89,689.61,4,2,1,Loyal Champions
1027,2525089.09,2335,1081.41,0,2,1,Loyal Champions
1030,1324917.96,1409,940.33,3,2,1,Loyal Champions
1031,588231.07,718,819.26,4,2,1,Loyal Champions
1032,5958.56,9,662.06,104,2,0,At-Risk Customers
1033,368653.35,331,1113.76,7,2,1,Loyal Champions
1034,1809.34,4,452.34,119,2,0,At-Risk Customers
1035,808376.08,603,1340.59,6,2,1,Loyal Champions
1037,2275.7,1,2275.7,39,1,3,High-Value Customers
1039,16776.69,17,986.86,13,2,1,Loyal Champions
1040,873029.86,1048,833.04,0,2,1,Loyal Champions
1041,116025.06,146,794.69,4,2,1,Loyal Champions
1042,20236.35,17,1190.37,130,2,0,At-Risk Customers
1043,127790.41,74,1726.9,11,2,1,Loyal Champions
1045,144393.08,93,1552.61,25,2,1,Loyal Champions
1046,76840.41,70,1097.72,17,2,1,Loyal Champions
1048,126254.56,89,1418.59,0,2,1,Loyal Champions
1049,1931696.4,2254,857.01,3,2,1,Loyal Champions
1050,116082.66,77,1507.57,4,2,1,Loyal Champions
1052,191911.69,246,780.13,10,2,1,Loyal Champions
1053,93757.81,61,1537.01,31,2,1,Loyal Champions
1055,1281.7,3,427.23,175,1,0,At-Risk Customers
1056,23849.55,26,917.29,61,2,1,Loyal Champions
1057,54299.76,25,2171.99,20,2,3,High-Value Customers
1060,216271.16,78,2772.71,10,2,3,High-Value Customers
1061,1757636.08,2039,862.01,2,2,1,Loyal Champions
1062,58617.5,26,2254.52,45,2,3,High-Value Customers
1063,1868019.29,1299,1438.04,0,2,1,Loyal Champions
1064,789391.72,969,814.65,0,2,1,Loyal Champions
1065,220503.2,108,2041.7,11,2,3,High-Value Customers
1066,88258.06,85,1038.33,10,2,1,Loyal Champions
1067,286043.33,312,916.81,10,2,1,Loyal Champions
1068,4600113.66,5471,840.82,0,2,1,Loyal Champions
1069,69423.08,95,730.77,17,2,1,Loyal Champions
1071,1209862.24,1754,689.77,4,2,1,Loyal Champions
1072,195324.3,261,748.37,0,2,1,Loyal Champions
1073,92287.27,69,1337.5,4,2,1,Loyal Champions
1074,718954.29,790,910.07,5,2,1,Loyal Champions
1075,17977.42,12,1498.12,18,2,1,Loyal Champions
1076,26509.18,16,1656.82,21,2,1,Loyal Champions
1077,451300.52,511,883.17,0,2,1,Loyal Champions
1078,772204.74,629,1227.67,0,2,1,Loyal Champions
