booking_month,segment_label,total_booking_amount,transaction_count,booking_month_dt
2018-01,At-Risk Customers,21760.89,19,2018-01-01
2018-01,High-Value Customers,146498.99,81,2018-01-01
2018-01,Loyal Champions,2623034.86,2943,2018-01-01
2018-01,VIP Whale,2408091.18,4032,2018-01-01
2018-02,At-Risk Customers,9931.56,13,2018-02-01
2018-02,High-Value Customers,78749.32,68,2018-02-01
2018-02,Loyal Champions,2527339.83,2742,2018-02-01
2018-02,VIP Whale,2004569.01,3276,2018-02-01
2018-03,At-Risk Customers,24085.69,29,2018-03-01
2018-03,High-Value Customers,123743.15,63,2018-03-01
2018-03,Loyal Champions,2946634.21,3227,2018-03-01
2018-03,VIP Whale,2665412.41,4254,2018-03-01
2018-04,At-Risk Customers,24650.11,28,2018-04-01
2018-04,High-Value Customers,146871.13,73,2018-04-01
2018-04,Loyal Champions,2490991.13,2693,2018-04-01
2018-04,VIP Whale,2191914.31,3647,2018-04-01
2018-05,At-Risk Customers,15871.640000000001,20,2018-05-01
2018-05,High-Value Customers,734403.53,97,2018-05-01
2018-05,Loyal Champions,2782609.61,3013,2018-05-01
2018-05,VIP Whale,2669675.78,3898,2018-05-01
2018-06,At-Risk Customers,21571.85,23,2018-06-01
2018-06,High-Value Customers,202132.88,79,2018-06-01
2018-06,Loyal Champions,3155110.63,3324,2018-06-01
2018-06,VIP Whale,2753794.91,4164,2018-06-01
2018-07,At-Risk Customers,5358.45,8,2018-07-01
2018-07,High-Value Customers,134625.5,73,2018-07-01
2018-07,Loyal Champions,1983728.85,2232,2018-07-01
2018-07,VIP Whale,1509446.26,1899,2018-07-01
2018-08,At-Risk Customers,7159.83,10,2018-08-01
2018-08,High-Value Customers,126320.49,50,2018-08-01
2018-08,Loyal Champions,1653503.51,1711,2018-08-01
2018-08,VIP Whale,1086858.2,1551,2018-08-01
2018-09,At-Risk Customers,55309.97,34,2018-09-01
2018-09,High-Value Customers,129057.14,75,2018-09-01
2018-09,Loyal Champions,3264690.25,3417,2018-09-01
2018-09,VIP Whale,1441505.14,2522,2018-09-01
2018-10,High-Value Customers,207058.47,90,2018-10-01
2018-10,Loyal Champions,3364764.14,3687,2018-10-01
2018-10,VIP Whale,1704844.62,2746,2018-10-01
2018-11,At-Risk Customers,1267.35,1,2018-11-01
2018-11,High-Value Customers,168252.47,73,2018-11-01
2018-11,Loyal Champions,2913263.86,3439,2018-11-01
2018-11,VIP Whale,1709585.83,3027,2018-11-01
2018-12,High-Value Customers,96983.28,40,2018-12-01
2018-12,Loyal Champions,1603680.66,1825,2018-12-01
2018-12,VIP Whale,1114569.94,1559,2018-12-01
