analyst_rating,description,export_date,market_cap_bucket,market_capitalization,market_capitalization_currency,price,price_change_pct_1_day,price_currency,price_to_earnings_ratio,relative_volume_1_day,sector,source_file,symbol,volume_1_day
Neutral,"Plug Power, Inc.",2025-12-29,large,2741521362.082125,USD,1.97,-4.830917874396129,USD,,0.7895603682480233,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,PLUG,72669661
Neutral,Opendoor Technologies Inc,2025-12-29,large,5560585108.995008,USD,5.83,-2.995008319467549,USD,,0.7317064065227091,Finance,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,OPEN,43922883
Buy,"BigBear.ai, Inc.",2025-12-29,large,2475245360.403141,USD,5.67,-1.0471204188481762,USD,,0.3825083974476856,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,BBAI,43463223
Strong buy,"Rigetti Computing, Inc.",2025-12-29,large,7349680125.539321,USD,22.27,-0.4915102770330627,USD,,1.006975253765371,Electronic technology,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RGTI,33555006
Strong buy,TeraWulf Inc.,2025-12-29,large,4781347124.027234,USD,11.42,-2.8085106382978733,USD,,0.5613127722883046,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,WULF,16428535
Sell,QuantumScape Corporation,2025-12-29,large,6373887550.201466,USD,10.6,-2.9304029304029333,USD,,0.7871478322515901,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,QS,12554920
Buy,Energy Fuels Inc,2025-12-29,large,3575911533.5211744,USD,15.07,2.937158469945353,USD,,1.5524537826213265,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,UUUU,11601824
Buy,"Eos Energy Enterprises, Inc.",2025-12-29,large,3678514405.257384,USD,11.35,-4.219409282700422,USD,,0.8077557771277472,Producer manufacturing,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,EOSE,11307027
Buy,"Lyft, Inc.",2025-12-29,large,7647617516.537874,USD,19.15,-2.643619725470275,USD,53.09121153313002,0.8769775188188725,Transportation,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,LYFT,9723465
Strong buy,Uranium Energy Corp.,2025-12-29,large,5897204430.876329,USD,12.2,-0.0819000819000946,USD,,0.7278461809987328,Non-energy minerals,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,UEC,9180775
Strong buy,"Riot Platforms, Inc.",2025-12-29,large,4911572825.979912,USD,13.21,-1.711309523809514,USD,39.222090261282666,0.6268142140941385,Technology services,2025-12-29\Price between SMA100 and SMA200_SSOqQTWL_2025-12-29.csv,RIOT,8621047
