Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,Sector,Analyst Rating
PLUG,"Plug Power, Inc.",1.97,USD,-4.830917874396129,72669661,0.7895603682480233,2741521362.082125,USD,,Electronic technology,Neutral
OPEN,Opendoor Technologies Inc,5.83,USD,-2.995008319467549,43922883,0.7317064065227091,5560585108.995008,USD,,Finance,Neutral
BBAI,"BigBear.ai, Inc.",5.67,USD,-1.0471204188481762,43463223,0.3825083974476856,2475245360.403141,USD,,Technology services,Buy
RGTI,"Rigetti Computing, Inc.",22.27,USD,-0.49151027703306277,33555006,1.006975253765371,7349680125.539321,USD,,Electronic technology,Strong buy
WULF,TeraWulf Inc.,11.42,USD,-2.8085106382978733,16428535,0.5613127722883046,4781347124.027234,USD,,Technology services,Strong buy
QS,QuantumScape Corporation,10.6,USD,-2.9304029304029333,12554920,0.7871478322515901,6373887550.201466,USD,,Producer manufacturing,Sell
UUUU,Energy Fuels Inc,15.07,USD,2.9371584699453535,11601824,1.5524537826213263,3575911533.5211744,USD,,Non-energy minerals,Buy
EOSE,"Eos Energy Enterprises, Inc.",11.35,USD,-4.219409282700422,11307027,0.8077557771277472,3678514405.257384,USD,,Producer manufacturing,Buy
LYFT,"Lyft, Inc.",19.15,USD,-2.643619725470275,9723465,0.8769775188188725,7647617516.537874,USD,53.09121153313002,Transportation,Buy
UEC,Uranium Energy Corp.,12.2,USD,-0.08190008190009469,9180775,0.7278461809987328,5897204430.876329,USD,,Non-energy minerals,Strong buy
RIOT,"Riot Platforms, Inc.",13.21,USD,-1.711309523809514,8621047,0.6268142140941385,4911572825.979912,USD,39.222090261282666,Technology services,Strong buy
TMC,TMC the metals company Inc.,6.32,USD,-7.331378299120233,6787233,0.8090922346834812,2613269726.346041,USD,,Non-energy minerals,Strong buy
GENI,Genius Sports Limited,10.94,USD,0.5514705882352824,6383717,2.2784726860439894,2770206309.621323,USD,,Technology services,Strong buy
CORZ,"Core Scientific, Inc.",15.08,USD,-1.3734466971876984,6346778,0.49200986252645773,4675724540.104644,USD,108.25556353194544,Technology services,Strong buy
MP,MP Materials Corp.,51.93,USD,-2.716373173473216,4703122,0.8240917454029427,9203579219.036718,USD,,Non-energy minerals,Strong buy
WRBY,Warby Parker Inc.,23,USD,-4.88006617038875,3795456,1.0370051610423068,2809790761.4557486,USD,6052.631578947368,Retail trade,Buy
FMCC,Freddie Mac,9.83,USD,-2.7695351137487574,3577731,1.9884896807800578,6390085359.484671,USD,,Finance,Buy
ETSY,"Etsy, Inc.",56.59,USD,1.5067264573991093,3400308,1.1811647410909514,5585773044.48843,USD,39.56236017897092,Retail trade,Neutral
PK,"Park Hotels & Resorts, Inc.",10.82,USD,-0.18450184501844624,3156802,1.0728575802516027,2166897439,USD,,Finance,Neutral
REXR,"Rexford Industrial Realty, Inc.",38.97,USD,-1.1916835699797133,3113361,1.4112143585040668,9182042233,USD,27.466873414152804,Finance,Neutral
PONY,Pony AI Inc. Sponsored ADR,14.92,USD,-0.26737967914439115,2629488,0.5732962677817496,7082889846.036481,USD,,Technology services,Strong buy
FRO,Frontline Plc,22.13,USD,1.4672168729940407,2341827,1.0149702264963725,4926644530.434664,USD,22.611627669357308,Transportation,Buy
TAL,TAL Education Group Sponsored ADR Class A,10.99,USD,-0.09090909090908897,2309760,0.8834679882273117,6691561782,USD,37.66278272789582,Commercial services,Strong buy
CIG,Companhia Energetica de Minas Gerais SA Sponsored ADR Pfd,2,USD,-3.3816425120772875,2040146,0.6053186851947392,6320889402.66,USD,8.126777732629012,Utilities,Sell
LBTYA,Liberty Global Ltd.,11.18,USD,0.7207207207207215,1948627,1.0639965451987787,3750465470.21982,USD,,Communications,Buy
INTR,Inter & Co. Inc.,8.39,USD,-0.7100591715976181,1936117,0.8162180998579125,3688887109.8828406,USD,17.284713638236507,Finance,Buy
PBF,PBF Energy Inc.,26.54,USD,1.4913957934990463,1777950,0.6642919616133064,3074592413.525048,USD,,Energy minerals,Sell
HR,Healthcare Realty Trust Incorporated Class A,16.94,USD,0.1774098166765295,1750932,0.5264743915135888,5946041139,USD,,Finance,Neutral
VNET,"VNET Group, Inc. Sponsored ADR",8.64,USD,-0.5753739930954999,1744561,0.4431121995025836,2337834967,USD,,Technology services,Strong buy
DINO,HF Sinclair Corporation,45.98,USD,0.2179598953792378,1688434,0.6233247147370391,8457939671.121185,USD,22.123851224558532,Energy minerals,Buy
LEVI,Levi Strauss & Co,21.09,USD,-0.09474182851728837,1675460,0.950014977764696,8242595607.622455,USD,18.201432640027615,Consumer non-durables,Strong buy
BRX,"Brixmor Property Group, Inc.",26.36,USD,0.22813688212927272,1653376,0.5753417955343935,8050429927,USD,24.409667561811276,Finance,Strong buy
MRP,Millrose Properties Inc Class A,29.9,USD,-1.6123724909509771,1496514,0.7506046285665361,4685642102,USD,22.89608698981545,Finance,Strong buy
KRC,Kilroy Realty Corporation,37.88,USD,-0.4990806409246065,1488079,1.041278700732306,4547700399,USD,13.972188410608242,Finance,Neutral
SGHC,Super Group (SGHC) Limited,11.98,USD,0.5033557046979908,1476777,0.7788375036350359,6007148167.979865,USD,27.59097190234915,Consumer services,Strong buy
BNL,"Broadstone Net Lease, Inc.",17.49,USD,-0.05714285714286607,1413003,0.7453390298987396,3311280594,USD,37.76722090261282,Finance,Buy
MIR,"Mirion Technologies, Inc.",23.77,USD,0.08421052631578768,1374135,0.6532161101493679,6032854405.900632,USD,201.78268251273343,Electronic technology,Strong buy
CGNX,Cognex Corporation,36.47,USD,-0.21887824897400357,1312682,0.6466512224250113,6112300864.042683,USD,56.32432432432432,Electronic technology,Buy
CRSP,CRISPR Therapeutics AG,53.97,USD,-2.015250544662308,1277169,0.8284198493746713,5143353688.045207,USD,,Health technology,Buy
RLX,"RLX Technology, Inc. Sponsored ADR Class A",2.29,USD,0.4385964912280803,1267260,0.7281010785348417,2778051394,USD,28.16728167281673,Producer manufacturing,Buy
BZ,Kanzhun Ltd. Sponsored ADR,20.79,USD,-1.2351543942992946,1082303,0.4222090142213396,9969174604.50048,USD,27.572944297082227,Commercial services,Strong buy
TAC,TransAlta Corporation,12.72,USD,-0.9345794392523303,1066903,0.7766241236433956,3774024270.591743,USD,,Utilities,Buy
AOS,A.O. Smith Corporation,68.08,USD,0.4722550177095531,1059733,0.9788135988507681,9479310613.591497,USD,18.382114699211577,Producer manufacturing,Neutral
QGEN,Qiagen N.V.,45.6,USD,0.5069429138197135,1050432,0.9085171668101388,9887949522.609655,USD,24.59944974915035,Health technology,Buy
UE,Urban Edge Properties,19.43,USD,0.41343669250645104,1045749,1.0991136033135194,2435268528,USD,22.160127737226276,Finance,Buy
HSAI,Hesai Group Sponsored ADR,22.48,USD,-0.17761989342806014,1036795,0.5686999176346533,3629564503.6761603,USD,51.66628361296254,Producer manufacturing,Strong buy
HALO,"Halozyme Therapeutics, Inc.",68.95,USD,0.11616088282270698,1015737,0.4988452621862594,8108313481.384492,USD,14.493210577206039,Health technology,Buy
NE,Noble Corporation plc A,28.32,USD,0.9985734664764663,1013641,0.6265879259981127,4498539411.577745,USD,20.301075268817204,Industrial services,Neutral
