BOOKING_MONTH,PLATFORM,PRODUCT_NAME,DURATION_CATEGORY,TRAVELER_ID
2018-01-01,Desktop,Air,1-3 days,1626
2018-01-01,Desktop,Air,4-7 days,698
2018-01-01,Desktop,Air,8-14 days,206
2018-01-01,Desktop,Air,15-30 days,72
2018-01-01,Desktop,Air,30+ days,56
2018-01-01,Desktop,Car,1-3 days,1524
2018-01-01,Desktop,Car,4-7 days,357
2018-01-01,Desktop,Car,8-14 days,52
2018-01-01,Desktop,Car,15-30 days,28
2018-01-01,Desktop,Car,30+ days,28
2018-01-01,Desktop,Hotel,1-3 days,1917
2018-01-01,Desktop,Hotel,4-7 days,212
2018-01-01,Desktop,Hotel,8-14 days,21
2018-01-01,Desktop,Hotel,15-30 days,6
2018-01-01,Desktop,Hotel,30+ days,0
2018-01-01,Mobile,Air,1-3 days,590
2018-01-01,Mobile,Air,4-7 days,188
2018-01-01,Mobile,Air,8-14 days,58
2018-01-01,Mobile,Air,15-30 days,19
2018-01-01,Mobile,Air,30+ days,14
2018-01-01,Mobile,Car,1-3 days,609
2018-01-01,Mobile,Car,4-7 days,111
2018-01-01,Mobile,Car,8-14 days,8
2018-01-01,Mobile,Car,15-30 days,11
2018-01-01,Mobile,Car,30+ days,6
2018-01-01,Mobile,Hotel,1-3 days,789
2018-01-01,Mobile,Hotel,4-7 days,77
2018-01-01,Mobile,Hotel,8-14 days,6
2018-01-01,Mobile,Hotel,15-30 days,2
2018-01-01,Mobile,Hotel,30+ days,1
2018-02-01,Desktop,Air,1-3 days,1484
2018-02-01,Desktop,Air,4-7 days,677
2018-02-01,Desktop,Air,8-14 days,266
2018-02-01,Desktop,Air,15-30 days,61
2018-02-01,Desktop,Air,30+ days,46
2018-02-01,Desktop,Car,1-3 days,1297
2018-02-01,Desktop,Car,4-7 days,293
2018-02-01,Desktop,Car,8-14 days,50
2018-02-01,Desktop,Car,15-30 days,37
2018-02-01,Desktop,Car,30+ days,6
2018-02-01,Desktop,Hotel,1-3 days,2089
2018-02-01,Desktop,Hotel,4-7 days,298
2018-02-01,Desktop,Hotel,8-14 days,24
2018-02-01,Desktop,Hotel,15-30 days,11
2018-02-01,Desktop,Hotel,30+ days,0
2018-02-01,Mobile,Air,1-3 days,507
2018-02-01,Mobile,Air,4-7 days,186
2018-02-01,Mobile,Air,8-14 days,67
2018-02-01,Mobile,Air,15-30 days,17
2018-02-01,Mobile,Air,30+ days,18
2018-02-01,Mobile,Car,1-3 days,470
2018-02-01,Mobile,Car,4-7 days,92
2018-02-01,Mobile,Car,8-14 days,18
2018-02-01,Mobile,Car,15-30 days,7
2018-02-01,Mobile,Car,30+ days,4
2018-02-01,Mobile,Hotel,1-3 days,948
2018-02-01,Mobile,Hotel,4-7 days,89
2018-02-01,Mobile,Hotel,8-14 days,7
2018-02-01,Mobile,Hotel,15-30 days,3
2018-02-01,Mobile,Hotel,30+ days,0
2018-03-01,Desktop,Air,1-3 days,1710
2018-03-01,Desktop,Air,4-7 days,689
2018-03-01,Desktop,Air,8-14 days,268
2018-03-01,Desktop,Air,15-30 days,79
2018-03-01,Desktop,Air,30+ days,52
2018-03-01,Desktop,Car,1-3 days,1507
2018-03-01,Desktop,Car,4-7 days,394
2018-03-01,Desktop,Car,8-14 days,54
2018-03-01,Desktop,Car,15-30 days,33
2018-03-01,Desktop,Car,30+ days,22
2018-03-01,Desktop,Hotel,1-3 days,2414
2018-03-01,Desktop,Hotel,4-7 days,322
2018-03-01,Desktop,Hotel,8-14 days,30
2018-03-01,Desktop,Hotel,15-30 days,10
2018-03-01,Desktop,Hotel,30+ days,1
2018-03-01,Mobile,Air,1-3 days,620
2018-03-01,Mobile,Air,4-7 days,197
2018-03-01,Mobile,Air,8-14 days,55
2018-03-01,Mobile,Air,15-30 days,22
2018-03-01,Mobile,Air,30+ days,17
2018-03-01,Mobile,Car,1-3 days,568
2018-03-01,Mobile,Car,4-7 days,121
2018-03-01,Mobile,Car,8-14 days,21
2018-03-01,Mobile,Car,15-30 days,13
2018-03-01,Mobile,Car,30+ days,6
2018-03-01,Mobile,Hotel,1-3 days,1052
2018-03-01,Mobile,Hotel,4-7 days,86
2018-03-01,Mobile,Hotel,8-14 days,7
2018-03-01,Mobile,Hotel,15-30 days,0
2018-03-01,Mobile,Hotel,30+ days,0
2018-04-01,Desktop,Air,1-3 days,1558
2018-04-01,Desktop,Air,4-7 days,565
2018-04-01,Desktop,Air,8-14 days,215
2018-04-01,Desktop,Air,15-30 days,60
2018-04-01,Desktop,Air,30+ days,58
2018-04-01,Desktop,Car,1-3 days,1333
2018-04-01,Desktop,Car,4-7 days,295
2018-04-01,Desktop,Car,8-14 days,55
2018-04-01,Desktop,Car,15-30 days,36
2018-04-01,Desktop,Car,30+ days,8
2018-04-01,Desktop,Hotel,1-3 days,2111
2018-04-01,Desktop,Hotel,4-7 days,280
2018-04-01,Desktop,Hotel,8-14 days,20
2018-04-01,Desktop,Hotel,15-30 days,9
2018-04-01,Desktop,Hotel,30+ days,1
2018-04-01,Mobile,Air,1-3 days,515
2018-04-01,Mobile,Air,4-7 days,172
2018-04-01,Mobile,Air,8-14 days,49
2018-04-01,Mobile,Air,15-30 days,20
2018-04-01,Mobile,Air,30+ days,21
2018-04-01,Mobile,Car,1-3 days,511
2018-04-01,Mobile,Car,4-7 days,92
2018-04-01,Mobile,Car,8-14 days,21
2018-04-01,Mobile,Car,15-30 days,10
2018-04-01,Mobile,Car,30+ days,1
2018-04-01,Mobile,Hotel,1-3 days,883
2018-04-01,Mobile,Hotel,4-7 days,70
2018-04-01,Mobile,Hotel,8-14 days,13
2018-04-01,Mobile,Hotel,15-30 days,3
2018-04-01,Mobile,Hotel,30+ days,0
2018-05-01,Desktop,Air,1-3 days,1572
2018-05-01,Desktop,Air,4-7 days,619
2018-05-01,Desktop,Air,8-14 days,168
2018-05-01,Desktop,Air,15-30 days,87
2018-05-01,Desktop,Air,30+ days,78
2018-05-01,Desktop,Car,1-3 days,1432
2018-05-01,Desktop,Car,4-7 days,405
2018-05-01,Desktop,Car,8-14 days,63
2018-05-01,Desktop,Car,15-30 days,48
2018-05-01,Desktop,Car,30+ days,17
2018-05-01,Desktop,Hotel,1-3 days,2322
2018-05-01,Desktop,Hotel,4-7 days,298
2018-05-01,Desktop,Hotel,8-14 days,39
2018-05-01,Desktop,Hotel,15-30 days,7
2018-05-01,Desktop,Hotel,30+ days,1
2018-05-01,Mobile,Air,1-3 days,583
2018-05-01,Mobile,Air,4-7 days,180
2018-05-01,Mobile,Air,8-14 days,46
2018-05-01,Mobile,Air,15-30 days,23
2018-05-01,Mobile,Air,30+ days,22
2018-05-01,Mobile,Car,1-3 days,518
2018-05-01,Mobile,Car,4-7 days,127
2018-05-01,Mobile,Car,8-14 days,24
2018-05-01,Mobile,Car,15-30 days,15
2018-05-01,Mobile,Car,30+ days,4
2018-05-01,Mobile,Hotel,1-3 days,982
2018-05-01,Mobile,Hotel,4-7 days,102
2018-05-01,Mobile,Hotel,8-14 days,10
2018-05-01,Mobile,Hotel,15-30 days,5
2018-05-01,Mobile,Hotel,30+ days,0
2018-06-01,Desktop,Air,1-3 days,1551
2018-06-01,Desktop,Air,4-7 days,505
2018-06-01,Desktop,Air,8-14 days,170
2018-06-01,Desktop,Air,15-30 days,102
2018-06-01,Desktop,Air,30+ days,62
2018-06-01,Desktop,Car,1-3 days,1439
2018-06-01,Desktop,Car,4-7 days,386
2018-06-01,Desktop,Car,8-14 days,95
2018-06-01,Desktop,Car,15-30 days,61
2018-06-01,Desktop,Car,30+ days,12
2018-06-01,Desktop,Hotel,1-3 days,2262
2018-06-01,Desktop,Hotel,4-7 days,249
2018-06-01,Desktop,Hotel,8-14 days,25
2018-06-01,Desktop,Hotel,15-30 days,8
2018-06-01,Desktop,Hotel,30+ days,1
2018-06-01,Mobile,Air,1-3 days,584
2018-06-01,Mobile,Air,4-7 days,164
2018-06-01,Mobile,Air,8-14 days,47
2018-06-01,Mobile,Air,15-30 days,27
2018-06-01,Mobile,Air,30+ days,15
2018-06-01,Mobile,Car,1-3 days,593
2018-06-01,Mobile,Car,4-7 days,137
2018-06-01,Mobile,Car,8-14 days,22
2018-06-01,Mobile,Car,15-30 days,16
2018-06-01,Mobile,Car,30+ days,3
2018-06-01,Mobile,Hotel,1-3 days,1025
2018-06-01,Mobile,Hotel,4-7 days,71
2018-06-01,Mobile,Hotel,8-14 days,5
2018-06-01,Mobile,Hotel,15-30 days,0
2018-06-01,Mobile,Hotel,30+ days,0
2018-07-01,Desktop,Air,1-3 days,1161
2018-07-01,Desktop,Air,4-7 days,448
2018-07-01,Desktop,Air,8-14 days,147
2018-07-01,Desktop,Air,15-30 days,77
2018-07-01,Desktop,Air,30+ days,44
2018-07-01,Desktop,Car,1-3 days,914
2018-07-01,Desktop,Car,4-7 days,205
2018-07-01,Desktop,Car,8-14 days,69
2018-07-01,Desktop,Car,15-30 days,62
2018-07-01,Desktop,Car,30+ days,22
2018-07-01,Desktop,Hotel,1-3 days,1727
2018-07-01,Desktop,Hotel,4-7 days,211
2018-07-01,Desktop,Hotel,8-14 days,32
2018-07-01,Desktop,Hotel,15-30 days,7
2018-07-01,Desktop,Hotel,30+ days,0
2018-07-01,Mobile,Air,1-3 days,379
2018-07-01,Mobile,Air,4-7 days,118
2018-07-01,Mobile,Air,8-14 days,53
2018-07-01,Mobile,Air,15-30 days,28
2018-07-01,Mobile,Air,30+ days,18
2018-07-01,Mobile,Car,1-3 days,317
2018-07-01,Mobile,Car,4-7 days,76
2018-07-01,Mobile,Car,8-14 days,10
2018-07-01,Mobile,Car,15-30 days,22
2018-07-01,Mobile,Car,30+ days,8
2018-07-01,Mobile,Hotel,1-3 days,689
2018-07-01,Mobile,Hotel,4-7 days,76
2018-07-01,Mobile,Hotel,8-14 days,10
2018-07-01,Mobile,Hotel,15-30 days,4
2018-07-01,Mobile,Hotel,30+ days,0
2018-08-01,Desktop,Air,1-3 days,985
2018-08-01,Desktop,Air,4-7 days,427
2018-08-01,Desktop,Air,8-14 days,160
2018-08-01,Desktop,Air,15-30 days,68
2018-08-01,Desktop,Air,30+ days,40
2018-08-01,Desktop,Car,1-3 days,760
2018-08-01,Desktop,Car,4-7 days,181
2018-08-01,Desktop,Car,8-14 days,50
2018-08-01,Desktop,Car,15-30 days,35
2018-08-01,Desktop,Car,30+ days,19
2018-08-01,Desktop,Hotel,1-3 days,1510
2018-08-01,Desktop,Hotel,4-7 days,214
2018-08-01,Desktop,Hotel,8-14 days,22
2018-08-01,Desktop,Hotel,15-30 days,1
2018-08-01,Desktop,Hotel,30+ days,1
2018-08-01,Mobile,Air,1-3 days,312
2018-08-01,Mobile,Air,4-7 days,108
2018-08-01,Mobile,Air,8-14 days,37
2018-08-01,Mobile,Air,15-30 days,20
2018-08-01,Mobile,Air,30+ days,12
