BOOKING_MONTH,DURATION_CATEGORY,TRAVELER_ID
2018-01-01,1-3 days,3385
2018-01-01,4-7 days,1171
2018-01-01,8-14 days,305
2018-01-01,15-30 days,122
2018-01-01,30+ days,94
2018-02-01,1-3 days,3217
2018-02-01,4-7 days,1149
2018-02-01,8-14 days,363
2018-02-01,15-30 days,123
2018-02-01,30+ days,61
2018-03-01,1-3 days,3558
2018-03-01,4-7 days,1258
2018-03-01,8-14 days,367
2018-03-01,15-30 days,134
2018-03-01,30+ days,89
2018-04-01,1-3 days,3309
2018-04-01,4-7 days,1056
2018-04-01,8-14 days,323
2018-04-01,15-30 days,123
2018-04-01,30+ days,85
2018-05-01,1-3 days,3441
2018-05-01,4-7 days,1203
2018-05-01,8-14 days,278
2018-05-01,15-30 days,154
2018-05-01,30+ days,106
2018-06-01,1-3 days,3454
2018-06-01,4-7 days,1077
2018-06-01,8-14 days,309
2018-06-01,15-30 days,176
2018-06-01,30+ days,86
2018-07-01,1-3 days,2680
2018-07-01,4-7 days,831
2018-07-01,8-14 days,271
2018-07-01,15-30 days,160
2018-07-01,30+ days,77
2018-08-01,1-3 days,2446
2018-08-01,4-7 days,791
2018-08-01,8-14 days,240
2018-08-01,15-30 days,120
2018-08-01,30+ days,68
2018-09-01,1-3 days,3340
2018-09-01,4-7 days,1031
2018-09-01,8-14 days,332
2018-09-01,15-30 days,106
2018-09-01,30+ days,46
2018-10-01,1-3 days,3433
2018-10-01,4-7 days,1153
2018-10-01,8-14 days,370
2018-10-01,15-30 days,153
2018-10-01,30+ days,60
2018-11-01,1-3 days,3433
2018-11-01,4-7 days,1076
2018-11-01,8-14 days,321
2018-11-01,15-30 days,139
2018-11-01,30+ days,61
2018-12-01,1-3 days,2575
2018-12-01,4-7 days,748
2018-12-01,8-14 days,246
2018-12-01,15-30 days,121
2018-12-01,30+ days,50
